"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\constants.dart", "Dart", 7, 0, 2, 9
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\cubits\cubit\place_card_video_cubit.dart", "Dart", 31, 0, 9, 40
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\cubits\cubit\place_card_video_state.dart", "Dart", 11, 0, 8, 19
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\home_page.dart", "Dart", 153, 0, 11, 164
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\main.dart", "Dart", 27, 0, 4, 31
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\place_card.dart", "Dart", 185, 0, 18, 203
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\video_page.dart", "Dart", 72, 0, 9, 81
"c:\Users\Kareem Ayman\Development\projects\flutter\tourista\lib\widgets\paragraph_widget.dart", "Dart", 30, 0, 3, 33
"Total", "-", 516, 0, 64, 580
